customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax
Mentz,Mentzel GmbH,Stephen Vollbrecht,Mr/Ms,"Ruppersbergerstr. 8/5
60931 Säckingen",Säckingen,NULL,60931,Germany,08838 25330,NULL
Trub ,Trub GmbH & Co. OHG,Lieschen Kreusel,Mr/Ms,"Bohlanderplatz 0
59730 Fürstenfeldbruck",Fürstenfeldbruck,NULL,59730,Germany,83558395,NULL
Stump,Stumpf Weller GmbH,Leopold Eberhardt-Naser,Mr/Ms,"Jessica-Geisel-Ring 2
51517 Sankt Goarshausen",Sankt,NULL,51517,Germany,+49 (0) 4891 183350,NULL
Seife,Seifert Beyer AG,Nurettin Binner,Mr/Ms,"Leonie-Klemt-Gasse 1
13420 Rottweil",Rottweil,NULL,13420,Germany,+49(0)0729 482378,NULL
Ullma,Ullmann e.G.,Karl-Heinrich Schleich-auch Schlauchin,Mr/Ms,"Deborah-Kambs-Platz 9/7
14188 Mallersdorf",Mallersdorf,NULL,14188,Germany,+49(0)5584 74808,NULL
Heinr,Heinrich KG,Heinz-Willi Stoll,Mr/Ms,"Zobelstraße 578
16565 Säckingen",Säckingen,NULL,16565,Germany,+49 (0) 1257 236521,NULL
Ladec,Ladeck,Edmund Hornich B.A.,Mr/Ms,"Luciano-Ruppersberger-Allee 4/9
01718 Bad Kissingen",Bad,NULL,1718,Germany,+49(0)3725 834930,NULL
Wesac,Wesack e.V.,Ing. Alex Kuhl,Mr/Ms,"Silvana-Wagenknecht-Straße 2
92679 Stade",Stade,NULL,92679,Germany,+49(0)8808 967878,NULL
Zorba,Zorbach Tschentscher GmbH,Frau Natalie Hethur,Mr/Ms,"Boucseinring 423
31178 Kulmbach",Kulmbach,NULL,31178,Germany,+49(0)0232875436,NULL
Krebs,Krebs AG,Leonard Butte,Mr/Ms,"Andreas-Nette-Platz 935
73001 Eilenburg",Eilenburg,NULL,73001,Germany,4161748604,NULL
Hartm,Hartmann,Julian Weitzel B.Sc.,Mr/Ms,"Drewesgasse 71
11958 Neuss",Neuss,NULL,11958,Germany,+49 (0) 2864 003509,NULL
Ladec,Ladeck Köster KG,Mohamed Steckel,Mr/Ms,"Heinstraße 2/0
46941 Worbis",Worbis,NULL,46941,Germany,09533 68022,NULL
Röhr,Röhrdanz Stiftung & Co. KG,Ing. Pietro Vogt,Mr/Ms,"Freia-Geisler-Weg 7
90569 Vechta",Vechta,NULL,90569,Germany,03087 69199,NULL
Birnb,Birnbaum Roskoth AG,Meryem Hartung,Mr/Ms,"Carmine-Ortmann-Weg 2/5
05313 Gunzenhausen",Gunzenhausen,NULL,5313,Germany,+49(0)3408 340569,NULL
Täsc,Täsche,Dr. Agnieszka Eigenwillig,Mr/Ms,"Mathilde-Junitz-Ring 5/2
62020 Luckenwalde",Luckenwalde,NULL,62020,Germany,(08436) 20668,NULL
Gude ,Gude KG,Frau Irina Gerlach,Mr/Ms,"Drubinstraße 2/2
46795 Chemnitz",Chemnitz,NULL,46795,Germany,+49(0)4930 446399,NULL
Schmi,Schmidt,Prof. Sabine Tintzmann B.A.,Mr/Ms,"Salzplatz 507
30349 Fürstenfeldbruck",Fürstenfeldbruck,NULL,30349,Germany,04696 41225,NULL
Köst,Köster OHG mbH,Horst-Dieter Caspar,Mr/Ms,"Jacobstr. 0/9
33064 Monschau",Monschau,NULL,33064,Germany,605527703,NULL
Schle,Schleich,Marjan Butte,Mr/Ms,"Schwitalring 880
19940 Zossen",Zossen,NULL,19940,Germany,+49(0)6676 20137,NULL
Schol,Scholtz GbR,Waldtraut Jähn,Mr/Ms,"Edelgard-Mangold-Weg 3
82317 Forchheim",Forchheim,NULL,82317,Germany,504732176,NULL
Mälz,Mälzer,Dr. Adina Niemeier,Mr/Ms,"Gierschnerallee 9/7
45448 Pegnitz",Pegnitz,NULL,45448,Germany,(02393) 677311,NULL
Höfi,Höfig Wähner KG,Raisa Trüb,Mr/Ms,"Dietzstraße 24
40598 Herzberg",Herzberg,NULL,40598,Germany,03136 80107,NULL
Möch,Möchlichen AG & Co. KG,Elzbieta Gerlach,Mr/Ms,"Misicherstraße 3
87450 Malchin",Malchin,NULL,87450,Germany,+49(0)0609 944445,NULL
Ritte,Ritter Döhn GmbH,Evi Heuser,Mr/Ms,"Josephine-Jäntsch-Platz 6/9
53167 Erkelenz",Erkelenz,NULL,53167,Germany,+49 (0) 3592 378764,NULL
Lorch,Lorch GmbH & Co. KG,Gordana Kobelt-Margraf,Mr/Ms,"Drubstr. 07
48645 Bitterfeld",Bitterfeld,NULL,48645,Germany,215363845,NULL
Losek,Losekann GmbH & Co. OHG,Elias Ditschlerin-Bauer,Mr/Ms,"Jacobplatz 572
50043 Havelberg",Havelberg,NULL,50043,Germany,+49(0) 334132266,NULL
Schol,Scholz Bolander e.G.,Alfredo Fiebig-Weimer,Mr/Ms,"Ditmar-Fröhlich-Platz 15
06805 Helmstedt",Helmstedt,NULL,6805,Germany,+49(0)7631 286898,NULL
Rosko,Roskoth,Karl Heinz Schmidtke MBA.,Mr/Ms,"Maja-Lange-Gasse 6
94712 Eisenhüttenstadt",Eisenhüttenstadt,NULL,94712,Germany,+49(0)1155 98974,NULL
Piepe,Pieper Hiller GmbH,Dr. Zeljko Kensy,Mr/Ms,"Olena-Schäfer-Weg 7/6
10323 Werdau",Werdau,NULL,10323,Germany,+49(0)9614 27364,NULL
Werne,Wernecke OHG mbH,Frau Birgitt Jäntsch,Mr/Ms,"Mühleweg 7
98012 Saarlouis",Saarlouis,NULL,98012,Germany,164466844,NULL
Karz ,Karz GmbH,Hermine Baum,Mr/Ms,"Lindnergasse 182
44826 Deggendorf",Deggendorf,NULL,44826,Germany,+49(0)4255 874736,NULL
Gumpr,Gumprich GmbH & Co. KG,Fabian Hermann,Mr/Ms,"Janus-Paffrath-Weg 731
80849 Fallingbostel",Fallingbostel,NULL,80849,Germany,+49(0)8234559495,NULL
Hensc,Henschel Schönland GmbH & Co. KGaA,Christl Wirth-Schaaf,Mr/Ms,"Pavel-Weinhold-Allee 11
70395 Pritzwalk",Pritzwalk,NULL,70395,Germany,(02064) 546113,NULL
Weime,Weimer Mohaupt GmbH & Co. OHG,Frau Anne-Kathrin Cichorius,Mr/Ms,"Patberggasse 3
50164 Gelnhausen",Gelnhausen,NULL,50164,Germany,(05527) 842967,NULL
Stolz,Stolze,Udo Jähn,Mr/Ms,"Constanze-Grein Groth-Weg 04
46469 Quedlinburg",Quedlinburg,NULL,46469,Germany,03913 20061,NULL
Gorli,Gorlitz GmbH,Peggy Gunpf,Mr/Ms,"Loosgasse 785
13281 Strausberg",Strausberg,NULL,13281,Germany,+49 (0) 0197 405492,NULL
Oderw,Oderwald,Ing. Marina Pieper,Mr/Ms,"Sandor-Eberth-Allee 87
33410 Freising",Freising,NULL,33410,Germany,+49(0)6293504076,NULL
Liebe,Liebelt GmbH,Frau Josephine Döring,Mr/Ms,"Slobodan-Mühle-Allee 613
69369 Cloppenburg",Cloppenburg,NULL,69369,Germany,812797179,NULL
Stoll,Stoll GmbH & Co. KG,Jochen Zahn,Mr/Ms,"Katja-Tlustek-Allee 828
14312 Neustadtner Waldnaab",Neustadtner,NULL,14312,Germany,04962 181889,NULL
Marti,Martin,Sami Peukert,Mr/Ms,"Bruderplatz 118
88604 Jessen",Jessen,NULL,88604,Germany,05712 702719,NULL
Dörr,Dörr KG,Prof. Mareike Stoll B.Sc.,Mr/Ms,"Senta-Schulz-Gasse 33
13526 Nauen",Nauen,NULL,13526,Germany,(03576) 68775,NULL
Sauer,Sauer AG,Ignatz Kroker,Mr/Ms,"Wiltrud-Kobelt-Platz 8/8
65103 Norden",Norden,NULL,65103,Germany,+49 (0) 1587 728786,NULL
Jopic,Jopich,Christopher Linke B.Eng.,Mr/Ms,"Gotthardallee 5/5
45130 Hohenmölsen",Hohenmölsen,NULL,45130,Germany,(00873) 30999,NULL
Hauff,Hauffer Stiftung & Co. KGaA,Miguel Schlosser,Mr/Ms,"Zänkergasse 66
74736 Sebnitz",Sebnitz,NULL,74736,Germany,1675816144,NULL
Bolnb,Bolnbach GmbH,Dipl.-Ing. Kenan Pruschke MBA.,Mr/Ms,"Loosring 448
24596 Prenzlau",Prenzlau,NULL,24596,Germany,+49 (0) 8630 346913,NULL
Ditsc,Ditschlerin Bloch KG,Pedro Ditschlerin,Mr/Ms,"Loosring 448
27008 Garmisch-Partenkirchen",Garmisch-Partenkirchen,NULL,27008,Germany,+49(0)8045 78774,NULL
Zahn ,Zahn Hamann GmbH & Co. KG,Patric Winkler,Mr/Ms,"Winklerplatz 3/9
51866 Aschaffenburg",Aschaffenburg,NULL,51866,Germany,+49(0) 765455854,NULL
Wohlg,Wohlgemut Jacob GmbH & Co. KGaA,Xaver Hornich,Mr/Ms,"Kitzmannring 17
90326 Dieburg",Dieburg,NULL,90326,Germany,+49(0)4265222135,NULL
Freud,Freudenberger Gunpf GmbH & Co. OHG,Anna-Luise Loos,Mr/Ms,"Müllerstraße 2/0
59379 Genthin",Genthin,NULL,59379,Germany,650891259,NULL
Fisch,Fischer Reising GmbH,Valerie Jäkel,Mr/Ms,"Michaela-Schüler-Ring 83
89721 Kehl",Kehl,NULL,89721,Germany,04649 365312,NULL
Wesac,Wesack e.V.,Dennis Schleich,Mr/Ms,"Gerald-Langern-Allee 24
45998 Bad Kissingen",Bad,NULL,45998,Germany,450008208,NULL
Förs,Förster Müller GmbH & Co. KG,Frau Inka Löwer,Mr/Ms,"Langering 9/1
59895 Eisenach",Eisenach,NULL,59895,Germany,+49 (0) 9156 476053,NULL
Schü,Schüler KG,Dietlind Spieß,Mr/Ms,"Eileen-Käster-Straße 5/5
11295 Wolfratshausen",Wolfratshausen,NULL,11295,Germany,+49(0)1274 790101,NULL
Gude,Gude,Victor Heidrich,Mr/Ms,"Gehringergasse 5
50608 Diepholz",Diepholz,NULL,50608,Germany,+49 (0) 0886 151101,NULL
Röhr,Röhricht GmbH & Co. OHG,Ing. Hubertine Hartmann,Mr/Ms,"Butteweg 6
48836 Bad Brückenau",Bad,NULL,48836,Germany,+49 (0) 1521 175856,NULL
Hertr,Hertrampf Schomber GmbH,Herr Harro Heß,Mr/Ms,"Hoffmannstraße 67
65972 Säckingen",Säckingen,NULL,65972,Germany,767502260,NULL
Hofma,Hofmann,Eleonore Siering MBA.,Mr/Ms,"Krauseallee 5
92745 Nürtingen",Nürtingen,NULL,92745,Germany,+49(0)4934 57785,NULL
Kensy,Kensy,Heinz Jungfer,Mr/Ms,"Klaus-Michael-Adler-Ring 164
96704 Jülich",Jülich,NULL,96704,Germany,+49 (0) 4016 757855,NULL
Buchh,Buchholz,Christiane Nerger MBA.,Mr/Ms,"Herrmannstr. 02
29655 Wanzleben",Wanzleben,NULL,29655,Germany,(07585) 26295,NULL
Butte,Butte GmbH,Tamara Karge,Mr/Ms,"Birger-Schönland-Ring 5/8
69219 Senftenberg",Senftenberg,NULL,69219,Germany,9676581315,NULL
Häri,Häring OHG mbH,Mirja Köhler B.Sc.,Mr/Ms,"Lieselotte-Junitz-Weg 04
58381 Augsburg",Augsburg,NULL,58381,Germany,547993764,NULL
Butte,Butte Scheibe GmbH,Ortwin Hörle,Mr/Ms,"Knappeallee 185
94612 Waldmünchen",Waldmünchen,NULL,94612,Germany,06794 07342,NULL
Wirth,Wirth,Folker Käster B.Eng.,Mr/Ms,"Kochplatz 4/4
43815 Uelzen",Uelzen,NULL,43815,Germany,6056651250,NULL
Hille,Hiller,Dr. Reinhart Kobelt B.A.,Mr/Ms,"Strohweg 672
03176 Torgau",Torgau,NULL,3176,Germany,07632 316307,NULL
Baum,Baum,Univ.Prof. Lisbeth Winkler B.Sc.,Mr/Ms,"Weißstr. 24
13500 Uelzen",Uelzen,NULL,13500,Germany,03876 06971,NULL
Carst,Carsten Nette AG & Co. OHG,Alicja Rörricht-Köhler,Mr/Ms,"Abram-Carsten-Ring 900
14101 Wiedenbrück",Wiedenbrück,NULL,14101,Germany,(01374) 007966,NULL
Süß,Süßebier GmbH & Co. OHG,Prof. Gundolf Junitz,Mr/Ms,"Guntram-Staude-Gasse 410
27971 Hildesheim",Hildesheim,NULL,27971,Germany,200468532,NULL
Stein,Steinberg GmbH & Co. KGaA,Denise Kroker,Mr/Ms,"Dan-Weinhold-Straße 887
17347 Mellrichstadt",Mellrichstadt,NULL,17347,Germany,(08281) 34411,NULL
Heß ,Heß Mende GmbH,Sinaida Junken,Mr/Ms,"Traudl-Drub-Gasse 7
03935 Bergzabern",Bergzabern,NULL,3935,Germany,01318 503367,NULL
Stoll,Stoll,Birger Ebert,Mr/Ms,"Agnieszka-Geißler-Allee 083
91273 Schwabmünchen",Schwabmünchen,NULL,91273,Germany,+49(0) 041348038,NULL
Weiß,Weiß,Dipl.-Ing. Hans Hecker B.Sc.,Mr/Ms,"Knappestraße 344
14542 Lörrach",Lörrach,NULL,14542,Germany,(02663) 103098,NULL
Klapp,Klapp Hande GbR,Rena Heintze,Mr/Ms,"Möchlichenplatz 9/0
60458 Jüterbog",Jüterbog,NULL,60458,Germany,(07151) 310115,NULL
Liebe,Liebelt,Oscar Dörr,Mr/Ms,"Geißlerallee 729
77104 Finsterwalde",Finsterwalde,NULL,77104,Germany,+49(0)4374011866,NULL
Roht,Roht,Hans-Herbert Hermann,Mr/Ms,"Jürgen-Staude-Allee 1
85413 Cottbus",Cottbus,NULL,85413,Germany,+49 (0) 8684 466663,NULL
Butte,Butte,Jennifer Förster-Hering,Mr/Ms,"Gertrude-Kramer-Weg 9/8
25685 Mallersdorf",Mallersdorf,NULL,25685,Germany,119817084,NULL
Schle,Schleich AG,Francis Keudel-Lange,Mr/Ms,"Martina-Hamann-Straße 667
17837 Freudenstadt",Freudenstadt,NULL,17837,Germany,(06798) 87436,NULL
Bähr,Bähr GmbH & Co. KGaA,Minna Klapp-Lübs,Mr/Ms,"Denise-Buchholz-Allee 289
00011 Sternberg",Sternberg,NULL,11,Germany,+49 (0) 0468 029689,NULL
Klemt,Klemt Cichorius AG,Rochus Weiß,Mr/Ms,"Wagenknechtgasse 98
06736 Germersheim",Germersheim,NULL,6736,Germany,+49(0)6581 00357,NULL
Mans ,Mans Wirth GbR,Mary Trupp,Mr/Ms,"Gönül-Vollbrecht-Allee 60
48581 Gießen",Gießen,NULL,48581,Germany,+49(0)3747406199,NULL
Wielo,Wieloch,Ewa Weinhold,Mr/Ms,"Marika-Gierschner-Allee 5/5
46821 Ebern",Ebern,NULL,46821,Germany,+49 (0) 7156 273300,NULL
Speer,Speer Wesack KG,Liesel Sontag,Mr/Ms,"Christos-Hölzenbecher-Straße 95
92216 Bützow",Bützow,NULL,92216,Germany,+49(0)0145 169161,NULL
Zorba,Zorbach KG,Univ.Prof. Ferdinand Kranz,Mr/Ms,"Holstenweg 374
13267 Aschaffenburg",Aschaffenburg,NULL,13267,Germany,+49(0)7366875681,NULL
