orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
1,REID ,3,4/1/1996,6/13/1996,4/23/1996,1,49.5,NULL,"391 /
 28 Sara Link
Port Carloston, ACT, 1587"," ACT, 1587",3,1587,AUS
2,BAKER,6,4/1/1996,5/15/1996,4/16/1996,2,41.1,NULL,"44 Billy Way
North Jessicaburgh, VIC, 2236"," VIC, 2236",4,2236,AUS
3,HOWAR,4,4/3/1996,5/19/1996,5/9/1996,2,11.9,NULL,"Unit 86
 854 Kenneth Brae
South Amanda, VIC, 2711"," VIC, 2711",3,2711,AUS
4,WARNE,9,4/3/1996,6/5/1996,4/3/1996,2,21,NULL,"Level 6
 24 Jose Little
Lindachester, NT, 2519"," NT, 2519",1,2519,AUS
5,RAMIR,9,4/3/1996,7/8/1996,4/29/1996,1,42.8,NULL,"10 /
 11 Johnson Distributor
Schmidtbury, TAS, 2541"," TAS, 2541",4,2541,AUS
6,"ROSS,",2,4/3/1996,5/7/1996,4/26/1996,3,36.5,NULL,"Flat 44
 37 Morales Boulevard
West Eric, QLD, 2619"," QLD, 2619",4,2619,AUS
7,SUTTO,9,4/4/1996,4/23/1996,4/7/1996,2,13.1,NULL,"Suite 938
 8 Brenda Part
South Heathertown, VIC, 0884"," VIC, 0884",4,884,AUS
8,GARZA,8,4/4/1996,6/20/1996,4/11/1996,1,23.7,NULL,"Unit 62
 49 Eugene Dip
New Robert, ACT, 2517"," ACT, 2517",1,2517,AUS
9,WILLI,8,4/6/1996,6/18/1996,5/20/1996,3,35.3,NULL,"Level 4
 183 Hunter Chase
East Chelsea, WA, 2914"," WA, 2914",1,2914,AUS
10,STANL,2,4/6/1996,4/30/1996,4/7/1996,3,21.3,NULL,"09 Bruce Link
Port Miguelview, QLD, 9718"," QLD, 9718",4,9718,AUS
11,AGUIR,2,4/6/1996,4/22/1996,4/7/1996,2,26.9,NULL,"8 /
 917 Travis Hill
Walkerstad, WA, 0249"," WA, 0249",4,249,AUS
12,WRIGH,8,4/6/1996,6/25/1996,5/24/1996,3,8.6,NULL,"Level 6
 24 Jose Little
Lindachester, NT, 2519"," NT, 2519",3,2519,AUS
13,RANDA,8,4/8/1996,4/19/1996,4/9/1996,3,22.8,NULL,"471 /
 80 Leslie Copse
Delgadoshire, TAS, 2217"," TAS, 2217",2,2217,AUS
14,ALVAR,3,4/9/1996,5/19/1996,4/30/1996,2,3,NULL,"Apt. 483
 1 Ronald Front
Marymouth, SA, 4455"," SA, 4455",1,4455,AUS
15,CHOI-,6,4/9/1996,4/28/1996,4/18/1996,1,38.4,NULL,"Apt. 483
 1 Ronald Front
Marymouth, SA, 4455"," SA, 4455",4,4455,AUS
16,BROWN,7,4/10/1996,6/10/1996,5/25/1996,2,24,NULL,"89 Michaela Tarn
Port Susanport, TAS, 2615"," TAS, 2615",2,2615,AUS
17,FREEM,5,4/11/1996,6/15/1996,4/19/1996,1,36.6,NULL,"Flat 22
 46 Farley Intersection
East Juliaburgh, SA, 8554"," SA, 8554",2,8554,AUS
18,JONES,3,4/11/1996,5/6/1996,4/19/1996,3,22.7,NULL,"830 Alvarez Causeway
Thompsonton, SA, 8632"," SA, 8632",1,8632,AUS
19,GREEN,4,4/11/1996,5/9/1996,4/24/1996,3,32.8,NULL,"541 /
 7 Campbell Common
Port Monicabury, TAS, 2995"," TAS, 2995",2,2995,AUS
20,FUENT,5,4/14/1996,5/14/1996,5/3/1996,1,9.7,NULL,"Flat 87
 553 Chen Footway
Lake Jamieland, TAS, 2994"," TAS, 2994",2,2994,AUS
21,ANDRA,6,4/15/1996,5/30/1996,4/30/1996,1,49,NULL,"Unit 37
 021 Stokes View
Jamesberg, SA, 2656"," SA, 2656",4,2656,AUS
22,CHAVE,8,4/17/1996,7/17/1996,5/21/1996,1,37.2,NULL,"Level 1
 560 Flynn Ronde
Reesetown, NT, 1444"," NT, 1444",1,1444,AUS
23,MUNOZ,8,4/18/1996,7/5/1996,6/19/1996,1,9.5,NULL,"Suite 938
 8 Brenda Part
South Heathertown, VIC, 0884"," VIC, 0884",4,884,AUS
24,OLSON,2,4/18/1996,5/11/1996,4/27/1996,2,11.1,NULL,"65 Dawn Quays
Schmidtview, SA, 2490"," SA, 2490",1,2490,AUS
25,LIN P,6,4/19/1996,7/21/1996,6/28/1996,1,22.5,NULL,"541 /
 7 Campbell Common
Port Monicabury, TAS, 2995"," TAS, 2995",2,2995,AUS
26,MORRI,7,4/20/1996,5/14/1996,4/29/1996,2,22.2,NULL,"44 /
 534 Benjamin Close
Pamelaville, SA, 2955"," SA, 2955",3,2955,AUS
27,GREEN,2,4/20/1996,5/18/1996,4/29/1996,3,13.5,NULL,"Apt. 483
 1 Ronald Front
Marymouth, SA, 4455"," SA, 4455",3,4455,AUS
28,MOORE,2,4/21/1996,7/10/1996,5/10/1996,2,9.2,NULL,"Unit 57
 48 David Ronde
Jamieborough, NT, 2611"," NT, 2611",2,2611,AUS
29,GONZA,9,4/22/1996,5/25/1996,5/14/1996,2,8.1,NULL,"44 Billy Way
North Jessicaburgh, VIC, 2236"," VIC, 2236",3,2236,AUS
30,ALVAR,6,4/22/1996,6/10/1996,5/1/1996,3,44.1,NULL,"1 /
 42 Jones Walk
North Michael, TAS, 2246"," TAS, 2246",4,2246,AUS
31,ALLEN,3,4/23/1996,7/16/1996,5/31/1996,1,23.1,NULL,"Level 6
 994 Emma Place
Annside, ACT, 2603"," ACT, 2603",3,2603,AUS
32,CUEVA,4,4/23/1996,6/14/1996,4/27/1996,1,20.6,NULL,"97 /
 87 Jason Gates
New Meaganchester, TAS, 2005"," TAS, 2005",4,2005,AUS
33,MCKNI,4,4/24/1996,5/17/1996,4/24/1996,3,37.3,NULL,"Apt. 868
 34 Rebecca Ridgeway
Allenhaven, ACT, 2600"," ACT, 2600",3,2600,AUS
34,MUNOZ,2,4/25/1996,6/13/1996,5/16/1996,2,6.1,NULL,"65 Dawn Quays
Schmidtview, SA, 2490"," SA, 2490",2,2490,AUS
35,GARZA,6,4/25/1996,7/2/1996,5/4/1996,1,29.4,NULL,"06 Thomas Estate
South Leahfort, WA, 2580"," WA, 2580",2,2580,AUS
