customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax
STEIN,Steinberg KG,Gisbert Heydrich B.Eng.,,"Goran-Werner-Ring 0
50446 Schmölln",50446 Schmölln,NULL,50446,Germany,09961 21158,NULL
SCHIN,Schinke,Dipl.-Ing. Ehrhard Huhn,,"Annaliese-Adler-Weg 77
23220 Mühlhausen",23220 Mühlhausen,NULL,23220,Germany,+49 (0) 2290 466284,NULL
BEYER,Beyer GmbH,Dipl.-Ing. Natalia Etzler,,"Trübstraße 6/0
06299 Germersheim",06299 Germersheim,NULL,6299,Germany,08660 90472,NULL
HANDE,Hande Baum GmbH,Dr. Ingmar Nette,,"Killergasse 179
13964 Paderborn",13964 Paderborn,NULL,13964,Germany,04590 974115,NULL
BLüM,Blümel Bähr GbR,José Heidrich-Pechel,,"Siegmar-Bauer-Platz 7/5
38499 Pfaffenhofenner Ilm",38499 Pfaffenhofenner Ilm,NULL,38499,Germany,+49 (0) 7825 176111,NULL
SPEER,Speer,Elfriede Blümel,,"Heinz-Peter-Otto-Gasse 7
73746 Sömmerda",73746 Sömmerda,NULL,73746,Germany,(09169) 548205,NULL
SPEER,Speer,Alexander Henck MBA.,,"Manfred-Fechner-Straße 39
51444 Siegen",51444 Siegen,NULL,51444,Germany,(08309) 733100,NULL
KRAME,Kramer Müller GmbH & Co. KG,Mustafa Jüttner B.Eng.,,"Holtstr. 1
22206 Bad Kreuznach",22206 Bad Kreuznach,NULL,22206,Germany,09402 839648,NULL
KREBS,Krebs Textor AG & Co. KG,Dr. Dietlinde Stumpf,,"Susana-Spieß-Ring 6/1
70513 Dresden",70513 Dresden,NULL,70513,Germany,+49(0)6280 230809,NULL
WAGNE,Wagner Cichorius AG & Co. OHG,Denis Junk,,"Pölitzplatz 1/0
37413 Nauen",37413 Nauen,NULL,37413,Germany,+49(0)2796 942476,NULL
HOLZA,Holzapfel,Steven Bolzmann B.A.,,"Mühlegasse 3
86814 Gadebusch",86814 Gadebusch,NULL,86814,Germany,(05836) 16396,NULL
DAVID,Davids Pärtzelt AG,Prof. Bärbel Gumprich B.A.,,"Ute-Seifert-Straße 8
61784 Griesbach Rottal",61784 Griesbach Rottal,NULL,61784,Germany,+49(0)0148 611526,NULL
JäKE,Jäkel AG & Co. OHG,Andree Ortmann-Weller,,"Täschegasse 127
24846 Tübingen",24846 Tübingen,NULL,24846,Germany,05053 299979,NULL
LöFF,Löffler KG,Hiltrud Pölitz,,"Krausestraße 2
63089 Gardelegen",63089 Gardelegen,NULL,63089,Germany,(09788) 518180,NULL
HäRI,Häring,Pascale Scholz MBA.,,"Köhlerstraße 198
67204 Schwarzenberg",67204 Schwarzenberg,NULL,67204,Germany,+49 (0) 0659 632637,NULL
KARZ ,Karz e.V.,Emma Striebitz-Gute,,"Hansjörg-Fischer-Platz 505
54416 Northeim",54416 Northeim,NULL,54416,Germany,+49 (0) 3920 829048,NULL
CARST,Carsten Binner AG,Ljudmila Atzler B.A.,,"Jeannette-Weller-Platz 829
93330 Bruchsal",93330 Bruchsal,NULL,93330,Germany,(07755) 436507,NULL
TRUBI,Trubin Sager AG,Dr. Jerzy Wieloch,,"Heserstr. 37
49761 Gelnhausen",49761 Gelnhausen,NULL,49761,Germany,985564025,NULL
BIRNB,Birnbaum,Aloisia Schuchhardt B.Eng.,,"Elfi-Boucsein-Gasse 383
14490 Hechingen",14490 Hechingen,NULL,14490,Germany,02125 70262,NULL
WIELO,Wieloch AG,Svetlana Blümel,,"Edeltraut-Beier-Allee 9/9
28064 Groß-Gerau",28064 Groß-Gerau,NULL,28064,Germany,+49(0) 037146076,NULL
LOLLO,"Lollobrigida, Camanni e Viola s.r.l.",Sig.ra Griselda Praga ,,"Borgo Patrizia 87
Adelmo terme, 74753 Siena (RM)","Adelmo terme, 74753 Siena (RM)",NULL,74753,Italy,+39 101 08 86 4553,NULL
ANTON,"Antonucci, Semitecolo e Manunta SPA",Dott. Eugenia Traversa,,"Contrada Jacopo 247 Appartamento 60
San Paloma ligure, 05936 Ascoli Piceno (MO)","San Paloma ligure, 05936 Ascoli Piceno (MO)",NULL,Ascoli,Italy,+39 827 71166828,NULL
CARUS,Caruso-Trezzini s.r.l.,Fausto Binaghi,,"Borgo Petralli 18 Piano 6
Sesto Luisa, 87875 Verona (CN)","Sesto Luisa, 87875 Verona (CN)",NULL,87875,Italy,+39 50 83309496,NULL
ORTOL,"Ortolani, Cremonesi e Troisi SPA",Annetta Mercalli,,"Canale Cafarchia 851
Bazzi ligure, 75183 Belluno (GE)","Bazzi ligure, 75183 Belluno (GE)",NULL,75183,Italy,+39 333 32914817,NULL
BARIL,Barillaro-Bodoni e figli,Alphons Mazzi-Basso,,"Contrada Pertile 779 Appartamento 68
Sesto Eugenia, 75423 Bologna (LI)","Sesto Eugenia, 75423 Bologna (LI)",NULL,75423,Italy,+39 1022 99622119,NULL
PEDER,Pederiva-Nordio Group,Paloma Serlupi,,"Borgo Adelmo 7
Emilio ligure, 35572 Enna (SA)","Emilio ligure, 35572 Enna (SA)",NULL,35572,Italy,+39 6292 7177523,NULL
PROCA,"Procacci, Romagnoli e Cossiga SPA",Lauretta Tosi,,"Rotonda Giada 1 Appartamento 51
Micheletti ligure, 11847 Como (CN)","Micheletti ligure, 11847 Como (CN)",NULL,11847,Italy,+39 1055 3326419,NULL
SALIE,"Salieri, Gregorio e Gianetti e figli",Umberto Tarchetti,,"Contrada Soffici 47 Piano 7
Borgo Paoletta, 27467 Genova (LU)","Borgo Paoletta, 27467 Genova (LU)",NULL,27467,Italy,+39 778 4208370,NULL
FERRA,Ferrazzi-Majewski e figli,Giampaolo Barberini ,,"Strada Scarfoglio 4
Ludovica calabro, 34006 Vercelli (PG)","Ludovica calabro, 34006 Vercelli (PG)",NULL,34006,Italy,+39 05 4817110,NULL
