orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
5600,PANIC,6,9/4/1997,11/15/1997,9/17/1997,3,49.1,Old World Delicatessen,"6524 Farley Lights Apt. 097
Carlosland, MT 86692","Carlosland, MT 86692",NULL,86692,US
5601,BIRNB,5,4/3/1997,6/16/1997,5/14/1997,2,125.3,Old World Delicatessen,"547 Ashley dam
New Bradley
DN2 2JG",DN2 2JG,NULL,DN2 2JG,GB
5602,KREBS,1,12/28/1997,3/1/1998,12/31/1997,2,60.8,Hungry Owl All-Night Grocers,"Alameda Nerea Macías 320 Piso 6 
Toledo, 44552","Toledo, 44552",NULL,44553,Spain
5603,LUCAR,7,5/11/1996,7/2/1996,5/19/1996,3,33.5,QUICK-Stop,"Contrada Jacopo 247 Appartamento 60
San Paloma ligure, 05936 Ascoli Piceno (MO)","San Paloma ligure, 05936 Ascoli Piceno (MO)",NULL,Ascoli,Italy
5604,BOYLE,7,5/22/1997,6/13/1997,6/2/1997,1,86.6,Rattlesnake Canyon Grocery,"Acceso de Ángel Pardo 66
Lleida, 53894","Lleida, 53894",NULL,53895,Spain
5605,LAMAS,2,4/9/1997,6/6/1997,5/24/1997,2,148.3,QUICK-Stop,"Calle Olga Adadia 33 Piso 3 
Lugo, 19984","Lugo, 19984",NULL,19985,Spain
5606,DAVIS,9,9/4/1996,10/27/1996,9/14/1996,1,73.9,Chop-suey Chinese,"47 Warren fords
Clarkchester
M76 2PS",M76 2PS,NULL,M76 2PS,GB
5607,COLOM,8,8/10/1996,9/19/1996,8/14/1996,2,130,Romero y tomillo,"Avenida de Vicente Coloma 52
Huesca, 01277","Huesca, 01277",NULL,1278,Spain
5608,SARAB,7,4/22/1996,6/26/1996,4/28/1996,3,19.6,Island Trading,"Alameda Albert Lumbreras 46
Valencia, 49304","Valencia, 49304",NULL,49305,Spain
5609,KELLY,9,1/6/1997,1/18/1997,1/6/1997,2,90,LILA-Supermercado,"Strada Michelotto 86
Sesto Torquato lido, 79294 Olbia-Tempio (TA)","Sesto Torquato lido, 79294 Olbia-Tempio (TA)",NULL,79294,Italy
5610,HäRI,8,4/30/1998,7/29/1998,5/1/1998,3,76,Magazzini Alimentari Riuniti,"Rotonda Odescalchi 08
Settimo Marcantonio veneto, 91541 Biella (PG)","Settimo Marcantonio veneto, 91541 Biella (PG)",NULL,91541,Italy
5611,"NASH,",5,4/19/1997,5/14/1997,5/2/1997,2,18.8,Ana Trujillo Emparedados y helados,"Contrada Pertile 779 Appartamento 68
Sesto Eugenia, 75423 Bologna (LI)","Sesto Eugenia, 75423 Bologna (LI)",NULL,75423,Italy
5612,CARUS,3,6/19/1996,8/22/1996,7/4/1996,2,34.3,Frankenversand,"Trübstraße 6/0
06299 Germersheim",06299 Germersheim,NULL,6299,Germany
5613,AZNAR,6,4/9/1996,7/18/1996,5/8/1996,1,141.1,The Big Cheese,"Elfi-Boucsein-Gasse 383
14490 Hechingen",14490 Hechingen,NULL,14490,Germany
5614,LöFF,1,10/2/1997,10/18/1997,10/4/1997,1,104,Tortuga Restaurante,"Siegmar-Bauer-Platz 7/5
38499 Pfaffenhofenner Ilm",38499 Pfaffenhofenner Ilm,NULL,38499,Germany
