orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
1,GRAY-,1,12/21/1996,2/7/1997,12/28/1996,2,66.5,NULL,"0226 Silva Shoals
Josephbury, NL X4B2R4","0226 Silva Shoals
Josephbury",NULL, NL X4B2R4,Canada
2,PARKE,1,8/29/1997,10/6/1997,9/5/1997,3,99.9,NULL,"37518 Sutton Lane Suite 379
Lake Barbara, NL K5P6B7","37518 Sutton Lane Suite 379
Lake Barbara",NULL, NL K5P6B7,Canada
3,JOHNS,5,11/8/1997,12/2/1997,11/19/1997,3,49.6,NULL,"3381 Thomas Motorway
Davisport, QC J9B 6A5","3381 Thomas Motorway
Davisport",NULL, QC J9B 6A5,Canada
4,RAMIR,4,10/7/1996,12/29/1996,11/21/1996,1,69.2,NULL,"979 James Junctions
Brooksburgh, PE S5E 7G7","979 James Junctions
Brooksburgh",NULL, PE S5E 7G7,Canada
5,"GRAY,",3,6/14/1996,7/30/1996,7/20/1996,2,66.7,NULL,"12570 Erika Stream Apt. 899
Dawsonstad, NU M9M6C5","12570 Erika Stream Apt. 899
Dawsonstad",NULL, NU M9M6C5,Canada
6,STEWA,2,7/5/1997,9/12/1997,8/26/1997,1,13.4,NULL,"381 Kim Inlet
Michaelmouth, AB X4R2J1","381 Kim Inlet
Michaelmouth",NULL, AB X4R2J1,Canada
7,MCINT,3,8/3/1997,10/16/1997,9/26/1997,1,74.2,NULL,"49527 Ashley Crossing Apt. 385
Quinnhaven, YT S6V4J3","49527 Ashley Crossing Apt. 385
Quinnhaven",NULL, YT S6V4J3,Canada
8,OLSON,8,10/5/1996,12/23/1996,11/14/1996,1,81.1,NULL,"979 James Junctions
Brooksburgh, PE S5E 7G7","979 James Junctions
Brooksburgh",NULL, PE S5E 7G7,Canada
9,POTTS,1,11/29/1996,2/5/1997,12/26/1996,2,62.4,NULL,"206 Kelley Causeway
Lake Shelby, SK J1R5S5","206 Kelley Causeway
Lake Shelby",NULL, SK J1R5S5,Canada
10,JACKS,7,4/13/1996,5/11/1996,4/15/1996,1,46.9,NULL,"96345 Andrews Cove
East Ernestshire, AB A9C2S2","96345 Andrews Cove
East Ernestshire",NULL, AB A9C2S2,Canada
11,SMITH,5,9/14/1997,11/15/1997,9/14/1997,1,4.5,NULL,"2287 Kimberly Ways Suite 920
Hendersontown, PE S7R4G2","2287 Kimberly Ways Suite 920
Hendersontown",NULL, PE S7R4G2,Canada
12,BURKE,6,6/16/1997,8/31/1997,6/24/1997,3,2,NULL,"0033 Kelly Fork Suite 370
Jasonshire, NS E7A6R5","0033 Kelly Fork Suite 370
Jasonshire",NULL, NS E7A6R5,Canada
13,RANGE,9,9/24/1996,11/2/1996,10/20/1996,3,33.1,NULL,"1399 Paul Estates Suite 399
Priceville, MB Y6X4H6","1399 Paul Estates Suite 399
Priceville",NULL, MB Y6X4H6,Canada
14,TURNE,8,12/21/1996,1/22/1997,1/6/1997,1,20.8,NULL,"8017 Padilla Squares
South Robertfort, MB J6Y4B6","8017 Padilla Squares
South Robertfort",NULL, MB J6Y4B6,Canada
15,GARZA,8,3/15/1998,3/30/1998,3/20/1998,1,73.7,NULL,"08839 Golden Club Suite 975
Hansonfort, NT L4R1A1","08839 Golden Club Suite 975
Hansonfort",NULL, NT L4R1A1,Canada
16,DELGA,8,7/22/1997,9/15/1997,9/3/1997,2,19.1,NULL,"0386 Moss Pines Apt. 200
Lauraport, NL G3T 6Y4","0386 Moss Pines Apt. 200
Lauraport",NULL, NL G3T 6Y4,Canada
