customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax
BOYDR,Boyd-Rodriguez,Shawna Joseph,Mr/Ms,"91319 Stacy Villages Apt. 560
Lake Victoria, NB X6G 9K3",Lake Victoria,NULL, NB X6G 9K3,CANADA,(740) 136-5507 x904,NULL
HALLA,"Hall, Andrews and Marquez",Carlos Hughes,Mr/Ms,"262 Amanda Valley Suite 537
Smithhaven, BC R5K6G3",Smithhaven,NULL, BC R5K6G3,CANADA,1 (461) 044-5385,NULL
HOWEL,Howell and Sons,Nicole Berry,Mr/Ms,"57367 Garcia Viaduct
New Gregory, QC N5K 3G5",New Gregory,NULL, QC N5K 3G5,CANADA,663-800-6138 x445,NULL
LLOYD,Lloyd and Sons,Carlos Williams,Mr/Ms,"5605 Lauren Forks Suite 979
Morenobury, SK L7A 8R1",Morenobury,NULL, SK L7A 8R1,CANADA,271-376-4777,NULL
TODD ,Todd LLC,Andrew Cline,Mr/Ms,"7530 Jessica Ford Apt. 356
Walkerside, BC N4N2A7",Walkerside,NULL, BC N4N2A7,CANADA,122-067-3139,NULL
RANGE,Rangel Group,Danielle Avila,Mr/Ms,"2287 Kimberly Ways Suite 920
Hendersontown, PE S7R4G2",Hendersontown,NULL, PE S7R4G2,CANADA,705.955.9635,NULL
NICHO,Nichols Group,Jason Edwards,Mr/Ms,"8017 Padilla Squares
South Robertfort, MB J6Y4B6",South Robertfort,NULL, MB J6Y4B6,CANADA,1 (774) 037-1334,NULL
PARKE,Parker-Wilson,Sandra King,Mr/Ms,"020 Amanda Pines
Phillipsstad, SK B9M 2T9",Phillipsstad,NULL, SK B9M 2T9,CANADA,806-546-3508 x784,NULL
GARCI,Garcia-Davis,Paige Holmes,Mr/Ms,"897 Jason Cliffs Suite 169
Port Bradleychester, NT A4H8M2",Port Bradleychester,NULL, NT A4H8M2,CANADA,594-994-2053 x376,NULL
CASTR,Castro Ltd,Frank Sherman,Mr/Ms,"08181 Robert Drive
Julieland, MB T3R5X6",Julieland,NULL, MB T3R5X6,CANADA,(507) 788-2200,NULL
RODRI,Rodriguez-Henry,Jeffrey King,Mr/Ms,"6458 Jimmy Walk Apt. 220
Dawnton, QC T2E7X9",Dawnton,NULL, QC T2E7X9,CANADA,1 (476) 268-7333,NULL
OLSON,"Olson, Rogers and Diaz",Spencer Mueller,Mr/Ms,"285 Hampton Manors Suite 283
New Johnbury, NS G9B6H1",New Johnbury,NULL, NS G9B6H1,CANADA,(697) 897-7779,NULL
MURPH,Murphy PLC,Anthony Fox,Mr/Ms,"9231 Mayer Burg
East Kellyshire, NU C3J 5B5",East Kellyshire,NULL, NU C3J 5B5,CANADA,(829) 758-0676 x844,NULL
OCONN,Oconnor Group,Kayla Turner,Mr/Ms,"139 Mcclure Locks Suite 477
Haynesberg, SK R6S2J5",Haynesberg,NULL, SK R6S2J5,CANADA,1-859-353-7381,NULL
GARZA,Garza and Sons,Samantha Greene,Mr/Ms,"4098 Derrick Mountain Apt. 379
North Sarahmouth, SK R1T5M1",North Sarahmouth,NULL, SK R1T5M1,CANADA,(724) 932-6304 x410,NULL
STRON,Strong Inc,Carlos Thompson,Mr/Ms,"50691 Karen Drives Suite 996
Carolburgh, NU S9K2V5",Carolburgh,NULL, NU S9K2V5,CANADA,1-881-945-5543,NULL
"GRAY,","Gray, Duran and Clarke",Kenneth Sandoval,Mr/Ms,"6536 Hawkins Mills Suite 992
Ellismouth, AB C8V6A1",Ellismouth,NULL, AB C8V6A1,CANADA,571.763.6321,NULL
DELGA,Delgado-Oconnor,Teresa Gibson,Mr/Ms,"0386 Moss Pines Apt. 200
Lauraport, NL G3T 6Y4",Lauraport,NULL, NL G3T 6Y4,CANADA,876-482-4163,NULL
